aerfa,3=α
alpha,5=α
a'gu,1=A股
ai'feng,2=iPhone
and,3=＆
an'zhuo,5=android
a'pan,1=A盘
at,5=＠
ba,6=Ⅷ
ba,7=⑧
bai'fen'hao,5=％
bai'fen'zhi,5=％
ban'quan,3=©
bbs,1=BBS
bdh,5=≠
bdy,3=≠
beita,3=β
beta,5=β
bfh,2=％
b'gu,1=B股
biao'zhi'a,5=ª
bi'chao,1=B超
blh,3=～
blx,3=～
bo'lang'xian,5=～
bu'deng'hao,5=≠
cf,5=穿越火线
ch,3=×
ch,4=÷
chang'k,1=唱K
chao'ji'qq,1=超级QQ
c'luo,1=C罗
c'pan,1=C盘
cxfh,3=♀
c'yu'yan,1=C语言
da'kuo'hao,4=｛
da'kuo'hao,5=｝
dan'yin'hao,4=‘
dan'yin'hao,5=’
dbh,3=∶
deerta,3=Δ
delta,5=Δ
deng'yu,5=＝
deng'yu'hao,5=＝
dg,3=√
dh,3=、
dh,4=，
dian,5=·
dian,9=丶
dkh,3=｛
dkh,4=｝
dou'hao,5=，
d'pan,1=D盘
du,3=°
dui'gou,2=√
dui'gou,3=☑
dui'hao,5=√
dun'hao,5=、
dy,3=＞
dy,4=＝
dydy,3=≥
da'yu'deng'yu,5=≥
dyh,3=‘
dyh,4=’
dyh,5=＞
da'yu'hao,5=＞
da'yu,5=＞
e'pan,1=E盘
epsilon,2=ε
er,6=Ⅱ
er,7=②
fang'kuai,6=■
fang'kuai,5=♦
fang'kuo'hao,4=[
fang'kuo'hao,5=]
fen'hao,5=；
fh,3=；
fk,6=■
fk,5=♦
fkh,6=[
fkh,7=]
f'pan,1=F盘
fu'hao,5=－
gama,3=γ
gan'tan'hao,5=！
google,2=谷歌
g'pan,1=G盘
haha,3=^_^
hao'mi,3=㎜
hch,2=※
he,3=＆
hehe,2=:-)
hei'tao,5=♠
hong'tao,5=♥
heng,5=一
h'gu,1=H股
h'pan,1=H盘
ht,6=♠
ht,7=♥
tencent,1=腾讯
tencent,2=Tencent
jgh,3=·
jh,3=。
jh,4=＋
jh,5=－
jia'a,1=甲A
jia'hao,5=＋
jian'hao,5=－
jian'tou,5=→
jing,3=＃
jing'hao,5=＃
jiu,6=Ⅸ
jiu,7=⑨
jt,5=→
ju'hao,5=。
kong'xin'kuo'hao,4=〖
kong'xin'kuo'hao,5=〗
kuo'hao,4=（
kuo'hao,5=）
kxkh,3=〖
kxkh,4=〗
kxkh,5=〖〗
lfm,2=m³
li'fang,2=m³
li'fang'mi,2=m³
limi,3=㎝
liu,6=Ⅵ
liu,7=⑥
lx,3=◇
lx,4=◆
mao'hao,5=：
md,5=MD5
mei'yuan,5=＄
mh,3=：
mh,5=♣
microsoft,2=微软
wei'ruan,2=Microsoft
miu,2=μ
mp,3=MP3
mp,4=MP4
mp,5=MP5
mtv,1=MTV
my,3=＄
nan,5=♂
niu'b,3=牛B
n'jiu,5=N久
nv,5=♀
omiga,2=Ω
orz,1=Orz
oumiga,3=Ω 
o'xing'tui,1=O形腿
pai,3=π
pfm,3=㎡
pie,5=丿
ping'fang'mi,3=㎡
ping'mi,2=㎡
ping'pong,2=乒乓
ping'pong'qiu,2=乒乓球
po'zhe'hao,5=——
pzh,3=——
qbar,1=Q吧
q'bi,3=Q币
q'chong,5=Q宠
qdh,5=≡
q'dian,1=Q点
qfh,2=‰
q'hao,5=Q号
qi,6=Ⅶ
qi,7=⑦
qian'fen'zhi,5=‰
qian'mi,3=㎞
qi'rui'qq,1=奇瑞QQ
qq'ai'qiang,1=QQ爱墙
qq'biao'qing,1=QQ表情
qqbq,2=QQ表情
qq'chong'wu,1=QQ宠物
qqcw,2=QQ宠物
qqcz,1=QQ充值
qqfc,1=QQ飞车
qq'fei'che,1=QQ飞车
qq'fei'xing'dao,1=QQ飞行岛
qqfxd,1=QQ飞行岛
qqgame,2=QQ游戏
qq'hao'ma,1=QQ号码
qqhm,1=QQ号码
qq'huan'xiang,1=QQ幻想
qq'hui'yuan,1=QQ会员
qqhx,2=QQ幻想
qqhy,2=QQ会员
qqkj,2=QQ空间
qqkj,3=qq空间
qq'kong'jian,1=QQ空间
qq'kong'jian,2=qq空间
qqmail,1=QQ邮箱
qqnc,1=QQ农场
qq'pin'yin,1=QQ拼音
qq'pin'yin'shu'ru'fa,1=QQ拼音输入法
qqpy,1=QQ拼音
qqpysrf,1=QQ拼音输入法
qq'qian'ming,1=qq签名
qqqm,2=qq签名
qq'qun,1=QQ群
qq'san'guo,1=QQ三国
qqsg,1=QQ三国
qqshow,1=QQ秀
qq'shu'qian,1=QQ书签
qq'shu'ru'fa,1=QQ输入法
qqsq,2=QQ书签
qqt,3=QQ堂
qq'tang,1=QQ堂
qqxf,2=QQ旋风
qq'xiu,1=QQ秀
qq'xiu,2=QQShow
qq'xuan'wu,1=QQ炫舞
qq'xuan'wu,2=qq炫舞
qq'xun'xian,1=QQ寻仙
qqxw,1=QQ旋窝
qqxw,2=QQ炫舞
qqxx,3=QQ寻仙
qq'yin'su,1=QQ音速
qq'you'xi,1=QQ游戏
qq'you'xiang,1=QQ邮箱
qqys,1=QQ音速
qqyx,1=QQ邮箱
qqyy,2=QQ影音
qq'zhuo'mian,1=QQ桌面
qqzm,2=QQ桌面
qq'hao'you,1=QQ好友
qqhy,3=QQ好友
qq'xiang'ce,2=QQ相册
qqxc,3=QQ相册
qq'yin'yue,2=QQ音乐
qqyy,3=QQ音乐
qq'jia'yuan,2=QQ家园
qqjy,3=QQ家园
qq'tuan'gou,2=QQ团购
qqtg,3=QQ团购
shou'ji'qq,2=手机QQ
sjqq,3=手机QQ
quan'deng,5=≌
quan'deng'hao,5=≡
qzone,1=QZone
ren'min'bi,5=￥
rho,5=ρ
rmb,2=￥
rui'jiao,5=∠
sai'ban,5=Symbian
san,6=Ⅲ
san,7=③
sha'b,3=傻B
sha'cha,1=傻×
shang'biao,3=®
sheng'lve'hao,5=……
shi,6=Ⅹ
shi,7=⑩
shi'xin'kuo'hao,4=【
shi'xin'kuo'hao,5=】
shuang'yin'hao,4=“
shuang'yin'hao,5=”
shu'ming'hao,4=《
shu'ming'hao,5=》
si,6=Ⅳ
si,7=④
sjt,1=↑
sjx,3=△
sjx,4=▲
slh,3=……
smh,3=《
smh,4=》
ssd,2=℃
sheshidu,5=℃
ssmh,3=『
ssmh,4=』
ssmh,5=『』
ssx,3=‖
sxkh,3=【
sxkh,4=】
sxkh,5=【】
syh,3=“
syh,4=”
tan'hao,5=！
tau,5=τ
th,3=！
ti'xu,1=T恤
tm,2=™
t'xing'tai,1=T型台
u'xing'guan,1=U形管
wb,3=℃
wd,3=℃
wei'sheng'su'c,1=维生素C
wen'du,4=℃
wen'hao,5=？
wh,3=？
wjx,3=☆
wjx,4=★
wujiaoxing,4=☆
wujiaoxing,5=★
wu,6=Ⅴ
wu,7=⑤
xb,3=♂
xb,4=♀
xie'gang,5=/
xin,5=♥
xjt,1=↓
xxfh,3=♂
xy,3=＜
xydy,3=≤
xiao'yu'deng'yu,5=≤
xyh,5=＜
xiao'yu'hao,5=＜
